numéro_département;numéro_circonscription;nom_commune;codes_postaux;code_insee;latitude;longitude
74;1;Seyssel;74910;74269;45;96
84;2;Roussillon;84220;84102;43.9;5.283333
84;2;Puyvert;84160;84095;43.766667;5.35
84;3;Aurel;84390;84005;44.133333;5.416667
84;3;Saint-Christol;84390;84107;44.033333;5.5
88;4;Harchéchamp;88300;88229;48.383333;5.783333
88;4;Greux;88630;88219;48.45;5.683333
88;4;Frebécourt;88630;88183;48.383333;5.666667
84;4;Travaillan;84850;84134;44.183333;4.9
84;4;Beaumont-du-Ventoux;84340;84015;44.183333;5.166667
84;4;Lagarde-Paréol;84290;84061;44.216667;4.85
84;4;Roaix;84110;84098;44.25;5.016667
88;4;Midrevaux;88630;88303;48.383333;5.616667
88;4;Mont-lčs-Neufchâteau;88300;88308;48.35;5.633333
88;4;Sionne;88630;88457;48.4;5.65
88;4;Villouxel;88350;88511;48.35;5.583333
88;4;Chermisey;88630;88102;48.416667;5.566667
88;4;Gendreville;88140;88195;48.233333;5.716667
88;4;Seraumont;88630;88453;48.433333;5.6
88;4;Clérey-la-Côte;88630;88107;48.483333;5.766667
88;4;Avranville;88630;88025;48.416667;5.533333
88;4;Jubainville;88630;88255;48.466667;5.75
84;3;Blauvac;84570;84018;44.033333;5.2
84;3;Saint-Trinit;84390;84120;44.1;5.466667
84;2;La Tour-d'Aigues;84240;84133;43.733333;5.55
88;4;Rollainville;88300;88393;48.366667;5.733333
84;2;Saint-Martin-de-Castillon;84750;84112;43.866667;5.516667
88;4;Grand;88350;88212;48.383333;5.483333
84;4;Le Barroux;84330;84008;44.133333;5.1
84;4;Vaison-la-Romaine;84110;84137;44.233333;5.066667
84;3;Méthamis;84570;84075;44.016667;5.216667
84;4;Buisson;84110;84022;44.283333;5
84;4;Visan;84820;84150;44.3;4.966667
84;3;Flassan;84410;84046;44.1;5.25
84;4;Villedieu;84110;84146;44.283333;5.033333
84;4;Lafare;84190;84059;44.15;5.05
88;4;Trampot;88350;88477;48.366667;5.433333
84;4;Saint-Romain-en-Viennois;84110;84116;44.266667;5.116667
88;4;Maxey-sur-Meuse;88630;88293;48.45;5.7
84;4;Crestet;84110;84040;44.216667;5.083333
84;3;Monieux;84390;84079;44.066667;5.366667
84;3;Mormoiron;84570;84082;44.066667;5.183333
84;4;Grillon;84600;84053;44.4;4.933333
84;2;Lacoste;84480;84058;43.833333;5.3
88;4;Vaudoncourt;88140;88496;48.216667;5.808333
84;2;Villars;84400;84145;43.916667;5.4
84;4;Sainte-Cécile-les-Vignes;84290;84106;44.25;4.883333
84;4;Châteauneuf-du-Pape;84230;84037;44.05;4.833333
84;1;Avignon;84000;84007;43.95;4.816667
84;4;Violčs;84150;84149;44.166667;4.95
84;4;Brantes;84390;84021;44.183333;5.333333
84;4;Faucon;84110;84045;44.266667;5.15
84;4;Piolenc;84420;84091;44.183333;4.766667
88;4;Punerot;88630;88363;48.483333;5.816667
71;3;Chaudenay;71150;71119;46.916667;4.783333
84;3;Sorgues;84700;84129;44;4.866667
84;4;Bollčne;84500;84019;44.283333;4.75
88;4;Martigny-les-Gerbonvaux;88300;88290;48.45;5.8
84;2;Lioux;84220;84066;43.95;5.316667
84;4;Uchaux;84100;84135;44.216667;4.8
84;4;Valréas;84600;84138;44.383333;4.983333
55;2;Ecouviez;55600;55169;49.533333;5.45
88;4;Rainville;88170;88366;48.35;5.883333
84;4;Puyméras;84110;84094;44.266667;5.133333
84;4;Saint-Léger-du-Ventoux;84390;84110;44.2;5.266667
88;4;Aroffe;88170;88013;48.4;5.9
88;4;Removille;88170;88387;48.366667;5.833333
88;4;Saint-Prancher;88500;88433;48.35;5.95
84;4;Richerenches;84600;84097;44.366667;4.916667
88;4;Soncourt;88170;88459;48.4;5.916667
84;4;Savoillan;84390;84125;44.183333;5.383333
88;4;Ménil-en-Xaintois;88500;88299;48.316667;5.966667
88;4;Vicherey;88170;88504;48.383333;5.933333
1;2;Apremont;1100;1011;46.208333;5.658333
88;4;Poussay;88500;88357;48.316667;6.116667
88;4;Boulaincourt;88500;88066;48.366667;6.083333
88;4;Chef-Haut;88500;88100;48.35;6.016667
88;4;Dombasle-en-Xaintois;88500;88139;48.3;6
88;4;Rouvres-en-Xaintois;88500;88400;48.316667;6.033333
88;4;Puzieux;88500;88364;48.333333;6.1
88;4;Frenelle-la-Petite;88500;88186;48.35;6.066667
1;4;Dommartin;1380;1144;46.341667;4.991667
88;4;Mirecourt;88500;88304;48.3;6.133333
84;3;Villes-sur-Auzon;84570;84148;44.05;5.233333
2B;2;Valle-d'Alesani;20234;20334;;
89;3;Paroy-sur-Tholon;89300;89289;47.95;3.366667
89;3;Saligny;89100;89373;48.216667;3.35
89;3;Courgenay;89190;89122;48.283333;3.55
89;3;Foissy-sur-Vanne;89190;89171;48.216667;3.5
89;3;Plessis-Saint-Jean;89140;89302;48.35;3.3
89;3;Sergines;89140;89391;48.333333;3.25
89;2;Roffey;89700;89323;47.916667;3.916667
89;3;Voisines;89260;89483;48.25;3.383333
89;3;Pont-sur-Vanne;89190;89308;48.183333;3.45
89;3;Chigy;89190;89107;48.2;3.483333
89;3;Thorigny-sur-Oreuse;89260;89414;48.283333;3.4
89;3;Etigny;89510;89160;48.133333;3.283333
89;3;Theil-sur-Vanne;89760;89411;48.166667;3.416667
89;3;Lailly;89190;89214;48.25;3.533333
89;3;Soucy;89100;89399;48.25;3.316667
89;3;Cérilly;89320;89065;48.183333;3.616667
89;3;Paroy-en-Othe;89210;89288;48.033333;3.566667
89;3;Pailly;89140;89285;48.35;3.333333
89;3;Michery;89140;89255;48.3;3.233333
89;3;Mercy;89210;89249;48.033333;3.633333
89;3;Serbonnes;89140;89390;48.316667;3.2
89;3;Flacy;89190;89165;48.216667;3.6
89;3;La Postolle;89260;89310;48.283333;3.433333
89;3;Compigny;89140;89115;48.366667;3.266667
89;3;Vareilles;89760;89429;48.166667;3.466667
89;3;Chaumot;89500;89094;48.083333;3.216667
89;3;Villebougis;89150;89450;48.2;3.15
89;3;Villemanoche;89140;89456;48.3;3.183333
89;3;Chaumont;89370;89093;48.316667;3.1
89;3;Chailley;89770;89069;48.083333;3.7
89;3;Champlost;89210;89076;48.033333;3.666667
89;3;Brannay;89150;89054;48.233333;3.116667
89;3;Les Sičges;89190;89395;48.183333;3.516667
89;3;Vinneuf;89140;89480;48.35;3.133333
89;3;Vallery;89150;89428;48.233333;3.05
89;3;Villeblevin;89720;89449;48.316667;3.083333
89;3;Bagneaux;89190;89027;48.233333;3.583333
89;3;Fournaudin;89320;89181;48.15;3.65
80;5;Equancourt;80360;80275;50.033333;3.016667
89;1;Chambeugle;89120;89070;47.866667;3.033333
89;2;Soumaintrain;89570;89402;48.016667;3.833333
89;2;Sormery;89570;89398;48.083333;3.766667
89;3;Courlon-sur-Yonne;89140;89124;48.333333;3.166667
89;3;Boeurs-en-Othe;89770;89048;48.133333;3.716667
89;2;Venouse;89230;89437;47.9;3.683333
89;2;Carisey;89360;89062;47.916667;3.85
89;3;Turny;89570;89425;48.033333;3.75
89;2;Lasson;89570;89219;48.066667;3.816667
89;2;Noyers-sur-Serein;89310;89279;47.7;4
89;2;Germigny;89600;89186;47.983333;3.783333
89;2;Lignorelles;89800;89226;47.866667;3.733333
89;2;Sambourg;89160;89374;47.766667;4.016667
89;2;Dannemoine;89700;89137;47.9;3.966667
89;2;Bernouil;89360;89038;47.9;3.9
89;2;Dyé;89360;89149;47.9;3.866667
89;2;Tronchoy;89700;89423;47.916667;3.95
89;2;Moulins-en-Tonnerrois;89310;89271;47.733333;4.033333
89;2;Epineuil;89700;89153;47.866667;3.983333
89;2;Neuvy-Sautour;89570;89276;48.033333;3.8
89;2;Molosmes;89700;89262;47.883333;4.05
2;1;Mâchecourt;2350;2448;49.658333;3.841667
89;2;Argentenay;89160;89016;47.816667;4.116667
89;2;Mélisey;89430;89247;47.916667;4.066667
89;2;Argenteuil-sur-Armançon;89160;89017;47.75;4.1
89;2;Tanlay;89430;89407;47.833333;4.083333
89;2;Rugny;89430;89329;47.9;4.15
89;2;Pimelles;89740;89299;47.833333;4.166667
89;2;Trichey;89430;89422;47.933333;4.133333
89;2;Collan;89700;89112;47.85;3.883333
89;2;Villon;89740;89475;47.9;4.183333
89;2;Cruzy-le-Châtel;89740;89131;47.85;4.2
2;1;Les Autels;2360;2038;49.766667;4.2257
89;2;Môlay;89310;89259;47.733333;3.933333
2;3;Any-Martin-Rieux;2500;2020;49.883333;4.2165
2;3;Lavaqueresse;2450;2414;49.95;3.708333
81;3;Escroux;81530;81085;43.75;2.633333
89;3;Chéroy;89690;89100;48.2;3
94;4;La Queue-en-Brie;94510;94060;48.783333;2.583333
89;1;Lavau;89170;89220;47.6;2.983333
89;3;Villeneuve-la-Guyard;89340;89460;48.333333;3.066667
80;5;Péronne;80200;80620;49.933333;2.933333
3;4;Le Breuil;3120;3042;46.183333;3.658333
95;9;Saint-Witz;95470;95580;49.083333;2.566667
81;1;Saint-Juéry;81160;81257;43.916667;2.7
81;3;Senaux;81530;81282;43.766667;2.616667
80;5;Bécordel-Bécourt;80300;80073;49.983333;2.683333
95;9;Villeron;95380;95675;49.05;2.533333
95;9;Survilliers;95470;95604;49.1;2.55
80;5;Fay;80200;80304;49.883333;2.8
80;5;Colincamps;80560;80203;50.1;2.6
80;5;Irles;80300;80451;50.1;2.75
80;5;Gueudecourt;80360;80397;50.05;2.833333
80;5;Beaucourt-sur-l'Ancre;80300;80065;50.083333;2.666667
80;5;Cléry-sur-Somme;80200;80199;49.95;2.883333
95;9;Chaumontel;95270;95149;49.116667;2.433333
80;5;Maricourt;80360;80513;49.966667;2.783333
80;5;Lesboeufs;80360;80472;50.033333;2.866667
89;1;Bléneau;89220;89046;47.7;2.95
80;5;Flers;80360;80314;50.05;2.816667
80;5;Sailly-Saillisel;80360;80695;50.033333;2.916667
95;9;Roissy-en-France;95700;95527;49;2.516667
95;9;Bellefontaine;95270;95055;49.1;2.466667
80;5;Feuillčres;80200;80307;49.95;2.85
95;7;Noisy-sur-Oise;95270;95456;49.133333;2.333333
89;3;Jouy;89150;89209;48.166667;2.966667
95;9;Fosses;95470;95250;49.1;2.483333
95;9;Luzarches;95270;95352;49.116667;2.416667
80;5;Miraumont;80300;80549;50.1;2.733333
95;9;Marly-la-Ville;95670;95371;49.083333;2.5
95;7;Asničres-sur-Oise;95270;95026;49.133333;2.35
95;1;Bernes-sur-Oise;95340;95058;49.166667;2.3
95;7;Belloy-en-France;95270;95056;49.083333;2.383333
81;4;Labastide-Rouairoux;81270;81115;43.466667;2.65
80;5;Grandcourt;80300;80384;50.083333;2.716667
80;5;Bazentin;80300;80059;50.033333;2.766667
88;1;Doncičres;88700;88156;48.4;6.633333
2B;2;Pioggiola;20259;20235;42.533333;9
88;4;Totainville;88500;88476;48.333333;5.983333
88;1;Châtel-sur-Moselle;88330;88094;48.3;6.4
88;1;Deinvillers;88700;88127;48.416667;6.55
88;1;Ortoncourt;88700;88338;48.366667;6.516667
88;4;Avrainville;88130;88024;48.366667;6.216667
88;1;Ménarmont;88700;88298;48.416667;6.65
88;1;Oncourt;88150;88337;48.25;6.366667
88;1;Saint-Pierremont;88700;88432;48.433333;6.583333
88;4;Autreville;88300;88020;48.483333;5.85
88;4;Hergugney;88130;88239;48.383333;6.2
88;1;Ménil-sur-Belvitte;88700;88301;48.383333;6.7
88;4;Harmonville;88300;88232;48.483333;5.866667
88;4;Evaux-et-Ménil;88450;88166;48.333333;6.3
88;1;Clézentaine;88700;88110;48.416667;6.533333
88;1;Hardancourt;88700;88230;48.383333;6.566667
88;4;Marainville-sur-Madon;88130;88286;48.4;6.166667
