EU_circo;code_région;nom_région;chef-lieu_région
Sud-Est;82;Rhône-Alpes;Lyon
Nord-Ouest;22;Picardie;Amiens
Centre;83;Auvergne;Clermont-Ferrand
Sud-Est;93;Provence-Alpes-Côte d'Azur;Marseille
Est;21;Champagne-Ardenne;Châlons-en-Champagne
Sud-Ouest;73;Midi-Pyrénées;Toulouse
Sud-Ouest;91;Languedoc-Roussillon;Montpellier
Nord-Ouest;25;Basse-Normandie;Caen
Ouest;54;Poitou-Charentes;Poitiers
Centre;24;Centre;Orléans
Centre;74;Limousin;Limoges
Est;26;Bourgogne;Dijon
Ouest;53;Bretagne;Rennes
Sud-Ouest;72;Aquitaine;Bordeaux
Est;43;Franche-Comté;Besançon
Nord-Ouest;23;Haute-Normandie;Rouen
Ouest;52;Pays de la Loire;Nantes
Est;41;Lorraine;Metz
Nord-Ouest;31;Nord-Pas-de-Calais;Lille
Est;42;Alsace;Strasbourg
Île-de-France;11;Île-de-France;Paris
Outre-Mer;1;Guadeloupe;Basse-Terre
Outre-Mer;2;Martinique;Fort-de-France
Outre-Mer;3;Guyane;Cayenne
Outre-Mer;4;La Réunion;Saint-Denis
Outre-Mer;6;Saint-Pierre-et-Miquelon;Saint-Pierre
Outre-Mer;5;Mayotte;Mamoudzou
Sud-Est;94;Corse;Ajaccio
